frame,cb0,cb1,cb2,cb3,cb4,cb5,cb6,cb7
0,897,215,432,201,1014,330,288,978
1,897,215,432,201,1014,330,288,821
2,897,931,387,801,335,166,288,224
3,897,931,387,801,335,166,288,224
4,897,931,96,801,632,15,537,130
5,897,931,96,801,911,247,371,224
6,897,631,794,157,825,196,423,20
7,897,215,963,157,396,587,288,978
8,897,215,797,606,1014,196,288,598
9,221,970,183,606,149,196,423,697
10,221,970,183,606,149,196,46,449
11,897,970,96,801,248,247,329,224
12,897,970,96,801,784,616,579,20
13,897,970,96,801,784,247,579,45
14,955,481,362,157,604,175,657,567
15,955,481,362,157,604,175,657,567
16,955,481,362,157,604,175,657,567
17,955,481,362,157,604,223,52,324
18,955,481,362,157,218,608,694,130
19,955,827,362,157,218,608,585,140
20,560,827,942,516,695,688,984,939
21,560,827,942,854,695,688,984,496
22,560,970,942,333,218,616,227,29
23,955,68,942,82,218,608,937,733
24,955,68,942,772,218,175,201,159
25,221,899,942,519,231,688,453,660
26,221,899,942,173,231,564,759,480
27,221,68,116,157,613,99,1003,144
28,221,68,116,173,355,99,1003,492
29,221,68,116,173,355,944,362,449
30,221,68,921,818,149,338,56,20
31,221,68,921,818,149,338,56,20
32,221,68,921,818,897,175,727,20
33,221,68,921,818,218,338,362,20
34,221,68,921,818,218,243,885,20
35,221,68,921,801,897,260,392,480
36,221,68,921,801,218,163,392,480
37,221,215,921,705,149,330,56,729
38,221,44,942,801,218,163,371,80
39,221,981,942,562,501,175,655,140
40,221,981,942,818,431,175,608,80
41,221,970,256,801,431,330,608,45
42,221,322,942,705,149,477,174,45
43,221,322,942,705,149,824,174,45
44,221,970,116,801,218,624,288,203
45,221,970,116,198,218,754,657,45
46,221,970,116,198,218,852,657,480
47,221,68,116,157,218,573,305,480
48,221,68,942,705,56,573,39,980
49,221,68,942,245,890,573,288,860
50,221,68,942,245,412,902,239,45
51,221,68,942,245,412,902,239,45
52,221,68,942,245,1014,175,288,628
53,221,68,942,245,335,175,214,628
54,221,68,942,592,813,902,214,729
55,221,68,705,157,218,841,288,980
56,221,481,362,198,218,754,657,224
57,221,481,942,198,85,754,967,736
58,221,481,942,198,905,754,657,224
59,221,481,942,198,905,330,288,185
60,221,481,942,818,218,841,288,13
61,221,481,942,818,218,841,371,98
62,221,481,942,818,218,330,371,649
63,221,481,942,818,1014,243,657,292
64,221,481,574,925,1014,558,911,449
65,221,481,574,925,1014,558,911,449
66,221,481,942,818,1014,330,738,664
67,221,215,942,818,1014,330,911,103
68,221,215,942,818,877,330,910,664
69,221,215,942,818,877,175,910,664
70,221,629,705,198,877,196,36,232
71,221,215,705,519,877,37,185,664
72,221,215,942,519,149,37,660,127
73,221,927,921,818,605,517,1003,649
74,221,927,921,818,605,517,289,649
75,897,215,942,764,218,767,185,316
76,897,343,921,764,218,418,288,316
77,221,899,921,157,668,636,849,470
78,221,899,942,519,149,175,288,470
79,221,899,942,818,149,175,456,470
80,221,899,942,723,412,537,288,317
81,221,899,362,157,605,302,657,449
82,221,899,362,198,264,99,288,480
83,221,899,921,764,871,243,759,969
84,930,707,921,801,218,537,610,37
85,897,931,942,764,638,243,996,352
86,897,433,942,764,877,243,761,352
87,897,343,942,764,638,754,1003,316
88,897,931,942,801,605,965,585,341
89,897,931,942,333,605,99,996,874
90,897,931,942,333,605,99,996,874
91,897,151,942,801,745,537,289,449
92,897,827,942,764,905,537,1003,341
93,897,461,942,801,605,260,285,980
94,897,461,338,801,605,965,285,98
95,897,461,338,801,605,841,1003,127
96,897,707,256,333,456,852,537,127
97,897,707,256,333,605,196,537,127
98,897,343,256,764,877,624,438,98
99,897,343,256,764,877,226,37,636
... (truncated, full tensor in .pt file)